miRNA,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
hsa-miR-376a-2-5p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-487b-5p,0,0,0,0,3,0,4,2,2,2,0,0,0,2,1,8,0
hsa-miR-487b-3p,0,6,76,363,679,13,734,310,403,492,241,44,397,410,446,81,41
hsa-miR-551a,0,0,0,2,3,1,1,0,0,2,0,2,0,0,0,8,0
hsa-miR-552-5p,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
hsa-miR-552-3p,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
hsa-miR-553,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-554,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
hsa-miR-92b-5p,0,2,11,43,169,8,19,10,22,35,37,9,76,20,27,94,10
hsa-miR-92b-3p,9,28,565,611,2471,92,809,542,435,357,1130,174,403,685,607,811,220
hsa-miR-555,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
hsa-miR-556-5p,0,6,88,248,364,1,292,269,272,1116,277,123,330,487,371,302,143
hsa-miR-556-3p,0,0,6,72,134,2,101,51,65,127,66,33,52,93,67,28,42
hsa-miR-557,0,0,0,1,0,0,5,0,0,0,0,0,1,4,0,10,0
hsa-miR-558,0,0,5,0,0,0,0,3,0,2,1,1,0,0,0,0,0
hsa-miR-559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-561-5p,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-561-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-563,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hsa-miR-564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-567,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-551b-5p,0,0,9,10,6,1,21,14,14,13,0,1,8,0,15,3,7
hsa-miR-551b-3p,0,0,0,4,7,0,1,9,8,11,4,1,0,4,0,0,5
hsa-miR-569,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-570-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-570-3p,0,1,0,17,92,2,27,16,17,47,40,11,45,17,54,8,3
hsa-miR-571,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
hsa-miR-572,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,1,0
hsa-miR-573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-574-5p,79,127,2258,3416,2643,82,2129,2520,1351,4908,2657,744,1891,3474,3538,1882,941
hsa-miR-574-3p,2,7,97,579,704,35,488,787,640,1557,531,265,436,630,531,308,189
hsa-miR-575,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-576-5p,0,5,51,164,901,35,280,129,229,280,381,104,194,228,206,260,87
hsa-miR-576-3p,0,0,1,20,140,2,23,10,26,40,25,9,21,33,47,78,19
hsa-miR-577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-578,0,0,0,2,10,0,0,0,0,0,6,0,0,0,0,0,9
hsa-miR-579-5p,0,2,3,30,50,0,18,27,13,69,27,4,52,29,52,49,6
hsa-miR-579-3p,0,1,0,14,79,1,11,7,17,64,22,7,28,38,26,24,6
hsa-miR-580-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
hsa-miR-580-3p,0,0,0,1,3,4,2,3,1,12,5,5,3,9,4,10,0
hsa-miR-581,0,0,0,0,0,0,2,0,4,0,11,0,2,0,0,0,0
hsa-miR-582-5p,0,0,0,4,15,1,0,0,5,10,11,1,0,0,1,0,3
hsa-miR-582-3p,0,0,0,1,9,0,2,0,0,9,4,1,3,1,2,0,0
hsa-miR-583,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-584-5p,3,7,74,256,429,8,198,493,271,694,309,85,198,501,387,197,57
hsa-miR-584-3p,0,0,0,4,2,0,0,3,1,5,0,0,4,3,0,3,0
hsa-miR-585-5p,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
hsa-miR-585-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548a-3p,0,0,0,10,29,0,8,13,19,77,11,6,8,10,36,3,13
hsa-miR-586,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
hsa-miR-587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548b-5p,0,0,0,0,0,0,3,1,5,0,2,0,0,1,4,0,0
hsa-miR-548b-3p,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
hsa-miR-588,0,0,0,0,2,0,7,0,1,0,0,1,0,2,8,0,0
hsa-miR-589-5p,3,7,66,263,521,11,145,173,99,442,233,84,198,218,346,212,77
hsa-miR-589-3p,0,0,1,18,41,0,32,13,18,63,19,14,13,35,36,8,14
hsa-miR-550a-5p,7,14,152,235,1002,21,158,267,154,395,487,58,441,227,263,341,133
hsa-miR-550a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-590-5p,0,1,6,64,164,3,64,56,89,279,63,50,61,104,71,66,51
hsa-miR-590-3p,1,11,190,660,2519,30,1673,613,1217,5988,1312,926,1715,2924,1902,1589,1136
hsa-miR-591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-592,0,0,0,2,13,0,0,0,2,4,5,3,8,18,3,81,0
hsa-miR-593-5p,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-593-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-595,0,0,4,1,9,2,0,0,0,0,0,0,0,2,0,2,0
hsa-miR-596,0,0,1,8,16,0,7,0,0,13,2,2,5,20,3,0,1
hsa-miR-597-5p,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-597-3p,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0
hsa-miR-598-5p,0,0,5,2,7,0,2,2,0,4,3,0,3,7,1,3,0
hsa-miR-598-3p,3,15,258,903,1445,39,714,810,453,2585,694,270,802,779,927,957,313
hsa-miR-599,0,0,2,0,6,0,0,4,0,0,3,0,1,0,3,0,0
hsa-miR-548a-5p,0,0,16,65,284,2,187,99,141,304,154,77,123,224,297,129,113
hsa-miR-600,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
hsa-miR-601,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,0
hsa-miR-602,0,0,0,0,2,0,2,1,7,0,0,0,0,0,0,0,0
hsa-miR-603,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
hsa-miR-604,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
hsa-miR-605-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-605-3p,0,0,3,18,12,0,17,5,17,16,18,14,13,3,4,15,0
hsa-miR-606,0,0,0,0,1,1,0,0,4,0,1,0,3,0,1,0,0
hsa-miR-607,0,0,0,0,17,0,0,0,0,1,0,0,1,0,0,0,0
hsa-miR-608,0,0,4,1,9,2,0,0,2,3,0,0,4,4,3,2,0
hsa-miR-609,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
hsa-miR-610,0,1,1,6,17,0,6,4,3,6,5,2,15,8,3,12,0
hsa-miR-611,0,0,0,1,7,0,0,0,3,1,0,0,3,0,3,17,1
hsa-miR-612,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-613,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-614,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-615-5p,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
hsa-miR-615-3p,0,0,0,1,3,0,2,0,2,7,2,2,1,4,18,0,6
hsa-miR-616-5p,0,0,0,3,0,0,0,1,1,6,0,0,0,3,4,6,2
hsa-miR-616-3p,1,0,18,7,44,2,8,15,8,15,17,8,16,15,18,9,17
hsa-miR-548c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548c-3p,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0
hsa-miR-617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-618,1,2,8,7,58,1,4,0,1,0,13,0,0,0,2,6,7
hsa-miR-619-5p,0,0,5,13,19,2,6,14,5,13,20,2,7,12,10,23,1
hsa-miR-619-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
hsa-miR-623,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
hsa-miR-624-5p,0,0,9,33,219,12,10,30,18,72,44,9,41,17,17,53,14
hsa-miR-624-3p,0,0,0,4,4,0,0,0,0,2,0,0,2,10,1,0,0
hsa-miR-625-5p,21,77,700,2085,2315,45,1264,2225,791,5561,1602,421,1138,1422,1726,1522,492
hsa-miR-625-3p,0,0,9,49,85,2,48,89,82,352,81,21,45,61,55,18,0
hsa-miR-626,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,8
hsa-miR-627-5p,0,0,4,15,61,0,18,19,34,92,41,53,50,69,108,83,34
hsa-miR-627-3p,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-628-5p,0,3,119,268,397,12,339,283,239,636,363,106,291,684,448,306,180
hsa-miR-628-3p,4,16,457,502,986,8,564,618,526,1432,634,219,584,770,697,463,280
hsa-miR-629-5p,8,32,415,663,5088,59,698,577,423,1240,1309,246,1549,914,2050,2428,390
hsa-miR-629-3p,0,0,1,4,21,0,7,6,16,18,15,3,7,25,12,30,8
hsa-miR-630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
hsa-miR-631,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,13,0
hsa-miR-33b-5p,0,0,0,1,48,2,0,1,0,8,3,0,0,18,8,7,0
hsa-miR-33b-3p,0,0,0,1,3,0,0,2,0,2,0,0,1,0,11,6,0
hsa-miR-632,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
hsa-miR-633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-634,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0
hsa-miR-635,0,0,0,0,23,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-636,0,0,0,12,69,4,7,7,5,7,18,2,32,7,9,17,5
hsa-miR-637,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
hsa-miR-638,0,0,4,3,20,0,10,3,4,13,3,1,1,16,7,11,0
hsa-miR-639,0,1,4,1,3,0,0,3,0,0,2,2,2,0,5,8,0
hsa-miR-640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-641,0,2,56,64,145,0,49,57,25,228,141,20,63,129,124,42,30
hsa-miR-642a-5p,0,0,0,4,3,0,1,2,7,4,5,1,0,3,2,1,0
hsa-miR-642a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-643,0,0,0,17,11,1,9,1,3,14,18,4,4,9,4,0,0
hsa-miR-644a,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
hsa-miR-645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-647,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-649,0,0,2,0,0,1,0,0,1,0,0,1,0,4,0,0,0
hsa-miR-650,0,0,0,0,8,0,0,1,1,0,0,0,2,2,2,1,0
hsa-miR-651-5p,1,3,53,144,501,8,124,113,96,469,241,85,217,268,261,176,74
hsa-miR-651-3p,0,0,8,3,0,0,1,0,0,5,0,0,3,0,0,10,7
hsa-miR-652-5p,0,0,56,188,314,5,146,202,178,783,171,145,343,560,553,133,119
hsa-miR-652-3p,183,137,3052,4510,5721,142,2226,4218,2368,2721,5792,863,2129,3965,2914,1381,588
hsa-miR-548d-5p,2,1,49,61,120,2,68,53,93,77,60,19,59,133,88,65,27
hsa-miR-548d-3p,0,0,0,6,6,0,1,2,4,6,4,0,0,2,0,0,6
hsa-miR-661,0,0,2,3,0,0,0,0,0,0,0,0,0,0,13,0,0
hsa-miR-662,0,0,0,0,8,3,0,0,0,0,0,0,3,0,0,9,15
hsa-miR-663a,0,1,9,12,49,3,20,1,2,10,5,2,14,35,25,88,8
hsa-miR-449b-5p,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0
hsa-miR-449b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-653-5p,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-653-3p,0,0,1,1,3,0,2,2,0,17,4,0,3,10,3,0,0
hsa-miR-411-5p,3,75,1157,1142,1875,26,1369,511,697,3490,644,121,2903,2610,2456,502,115
hsa-miR-411-3p,0,0,1,28,39,0,29,14,19,38,17,4,41,41,31,13,9
hsa-miR-654-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hsa-miR-654-3p,0,0,14,84,91,4,101,37,82,170,44,17,110,81,69,10,9
hsa-miR-655-5p,0,0,6,2,0,2,11,1,1,1,0,1,5,2,13,5,0
hsa-miR-655-3p,0,0,10,5,2,3,8,6,11,14,4,0,11,9,0,0,0
hsa-miR-656-5p,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-656-3p,0,0,0,3,0,0,9,1,4,5,4,2,8,2,0,0,0
hsa-miR-549a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-549a-3p,0,0,0,1,3,0,0,0,0,1,0,0,7,0,4,0,0
hsa-miR-657,0,1,17,4,155,9,12,21,28,11,41,4,23,39,18,194,66
hsa-miR-658,0,0,3,1,1,0,3,0,0,0,0,0,0,1,0,7,0
hsa-miR-659-5p,0,0,0,1,0,0,0,1,4,0,0,0,0,0,3,0,4
hsa-miR-659-3p,0,0,0,0,3,0,0,4,3,4,0,1,15,7,2,8,0
hsa-miR-660-5p,15,90,316,1806,4825,132,404,373,340,2217,1465,413,2059,695,1703,884,335
hsa-miR-660-3p,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,10
hsa-miR-421,28,96,1622,4380,8279,119,2576,3998,2653,6850,5275,1112,4322,4944,4624,3280,1853
hsa-miR-542-5p,0,0,19,19,87,2,22,7,27,72,18,3,26,11,43,25,10
hsa-miR-542-3p,1,0,12,9,140,12,27,24,74,61,35,11,14,18,63,77,27
hsa-miR-758-5p,0,0,2,3,5,0,0,0,3,5,0,0,3,10,4,0,0
hsa-miR-758-3p,0,0,0,7,22,1,31,7,18,31,36,1,44,52,39,8,0
hsa-miR-1264,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9
hsa-miR-671-5p,0,1,51,111,202,0,97,126,74,369,146,78,212,338,1093,132,92
hsa-miR-671-3p,4,4,74,136,268,3,212,176,119,361,204,46,179,317,335,183,53
hsa-miR-668-5p,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0
hsa-miR-668-3p,0,0,10,10,20,1,10,4,3,12,1,2,13,15,13,13,7
hsa-miR-550a-3-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-767-5p,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0
hsa-miR-767-3p,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-1224-5p,0,3,2,3,17,0,1,2,4,10,6,2,27,0,44,9,0
hsa-miR-1224-3p,0,0,0,0,33,0,6,4,3,3,0,2,5,8,18,14,12
hsa-miR-151b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-320b,0,5,207,341,1306,13,429,326,329,578,832,175,809,776,1061,904,191
hsa-miR-320c,1,5,117,101,244,2,110,133,97,165,134,46,122,191,316,123,16
hsa-miR-1296-5p,0,1,9,55,65,0,23,52,25,119,53,15,30,57,22,10,4
hsa-miR-1296-3p,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,3,0
hsa-miR-1468-5p,0,0,0,0,6,0,2,3,0,0,1,1,1,5,2,0,0
hsa-miR-1468-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1323,0,0,0,2,23,0,18,2,3,20,8,3,5,0,11,3,9
hsa-miR-1271-5p,0,0,0,11,16,0,13,9,5,16,6,4,7,10,4,0,0
hsa-miR-1271-3p,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1301-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1301-3p,24,51,965,1850,2987,31,2381,2353,2090,4870,2947,730,2977,4099,4537,2163,951
hsa-miR-454-5p,0,0,1,7,1,0,0,16,3,4,5,3,1,3,4,4,0
hsa-miR-454-3p,1,10,136,378,1002,20,335,460,464,732,611,142,443,465,376,321,179
hsa-miR-1185-5p,0,0,0,5,0,1,2,1,3,1,1,0,2,0,2,0,0
hsa-miR-1185-2-3p,0,1,10,60,58,0,83,41,32,75,41,9,94,57,79,4,0
hsa-miR-449c-5p,0,0,0,0,0,0,3,1,0,1,0,0,0,0,7,1,0
hsa-miR-449c-3p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-1283,0,1,8,13,54,0,6,5,11,82,15,7,13,18,8,1,3
hsa-miR-769-5p,2,6,170,451,857,6,289,307,259,1448,576,164,496,828,902,318,212
hsa-miR-769-3p,0,0,6,15,24,0,31,8,3,43,13,7,31,43,26,14,7
hsa-miR-766-5p,4,3,52,140,107,1,103,84,85,105,140,28,52,108,105,104,34
hsa-miR-766-3p,4,5,217,845,378,5,665,855,523,359,464,159,171,240,494,87,14
hsa-miR-378d,0,0,1,1,21,0,4,0,0,6,0,2,6,4,4,1,0
hsa-miR-1185-1-3p,2,22,404,1106,1530,15,855,612,596,2130,969,118,2200,1404,1799,281,74
hsa-miR-762,0,1,0,3,3,0,0,3,4,4,0,1,1,8,4,14,1
hsa-miR-802,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
hsa-miR-670-5p,0,0,0,0,4,0,5,1,2,0,0,0,3,1,0,0,0
hsa-miR-670-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
hsa-miR-1298-5p,0,1,0,0,12,0,0,0,1,4,0,0,0,0,3,7,0
hsa-miR-1298-3p,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
hsa-miR-2113,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-761,0,0,0,2,7,0,0,0,0,0,0,0,0,4,0,9,0
hsa-miR-764,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0
hsa-miR-759,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
hsv1-miR-H1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
hsv1-miR-H1-3p,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0
hsa-miR-765,0,1,10,14,23,4,3,1,7,12,12,0,16,11,22,31,16
hsa-miR-770-5p,0,0,0,3,7,0,9,0,0,6,2,0,6,0,4,0,0
hsa-miR-675-5p,0,2,2,15,42,5,13,3,3,16,19,5,19,20,13,2,0
hsa-miR-675-3p,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12,0
hsa-miR-298,0,0,0,2,0,0,0,0,8,0,0,0,0,0,2,9,0
hsa-miR-891a-5p,0,0,0,0,11,1,0,3,7,3,4,2,0,0,3,6,2
hsa-miR-891a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
hsa-miR-892a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-450b-5p,0,0,1,1,27,1,9,0,4,5,5,4,11,8,14,14,9
hsa-miR-450b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-874-5p,0,1,6,6,12,0,2,5,2,9,6,4,1,11,1,6,10
hsa-miR-874-3p,0,0,2,21,84,1,18,8,16,56,22,13,19,17,39,28,8
hsa-miR-890,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0
hsa-miR-891b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
hsa-miR-888-5p,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
hsa-miR-888-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-892b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-541-5p,0,0,1,2,5,0,1,2,0,0,4,1,0,5,10,0,4
hsa-miR-541-3p,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
hsa-miR-889-5p,0,0,9,5,6,0,6,4,1,10,1,0,4,6,20,0,0
hsa-miR-889-3p,2,52,457,685,1329,14,778,240,317,1758,353,77,1476,1158,1250,271,54
hsa-miR-875-5p,0,0,0,0,2,0,0,0,0,5,0,0,5,0,1,13,0
hsa-miR-875-3p,0,0,5,0,2,0,0,4,0,0,2,0,1,6,6,2,0
hsa-miR-876-5p,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-876-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-708-5p,0,0,12,10,29,1,17,2,32,5,8,5,27,75,6,13,14
hsa-miR-708-3p,0,2,3,6,34,1,5,5,3,6,6,0,8,6,14,3,2
hsa-miR-147b-5p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,11,0
hsa-miR-147b-3p,0,1,5,6,16,0,19,1,4,21,18,8,3,11,29,15,6
hsa-miR-190b-5p,0,1,3,17,42,1,27,18,23,32,45,5,21,32,35,30,17
hsa-miR-190b-3p,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-744-5p,571,891,22933,34101,44262,590,28855,31143,21484,65210,33362,7330,35543,45508,56415,24826,9923
hsa-miR-744-3p,0,0,2,5,7,1,6,0,7,14,1,1,4,1,0,10,0
hsa-miR-885-5p,0,0,36,19,42,4,73,26,71,48,101,34,172,82,14,18,1
hsa-miR-885-3p,0,0,29,22,99,5,126,5,23,41,122,30,80,102,13,5,22
hsa-miR-877-5p,10,8,237,366,476,8,335,336,235,469,299,66,252,294,487,518,150
hsa-miR-877-3p,1,0,11,50,41,6,16,1,5,12,4,6,20,53,36,52,565
hsa-miR-887-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-887-3p,0,1,7,2,53,0,8,3,3,13,2,2,4,1,15,24,3
hsa-miR-665,0,1,4,10,117,0,2,4,5,33,5,10,28,26,33,10,0
hsa-miR-873-5p,0,0,0,1,85,0,15,0,9,4,7,1,22,1,9,17,24
hsa-miR-873-3p,0,0,6,6,12,0,0,0,0,2,6,2,0,0,5,0,0
hsa-miR-543,0,0,2,11,28,0,33,19,6,10,12,0,2,12,9,0,0
hsa-miR-374b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-374b-3p,12,13,299,472,405,4,387,478,328,1276,372,209,485,809,658,429,271
hsa-miR-760,1,0,13,7,16,2,20,14,15,33,26,2,17,23,47,25,0
hsa-miR-301b-5p,0,0,0,0,5,0,0,5,1,0,1,0,1,2,0,0,5
hsa-miR-301b-3p,0,0,4,15,6,0,1,14,6,31,11,1,2,19,8,1,9
hsa-miR-216b-5p,0,0,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-216b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-208b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208b-3p,0,0,0,9,156,0,0,1,2,117,27,0,12,67,58,12,19
hsa-miR-920,0,0,0,1,4,0,0,0,0,0,2,0,1,1,9,0,0
hsa-miR-921,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-922,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
hsa-miR-924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
hsa-miR-509-3-5p,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-933,0,0,10,6,17,0,1,1,4,13,0,0,7,5,26,14,37
hsa-miR-934,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-935,0,0,0,0,16,0,0,6,8,1,5,1,4,0,1,1,10
hsa-miR-936,0,0,0,0,1,0,0,1,1,0,5,1,1,1,2,12,1
hsa-miR-937-5p,0,0,4,0,6,0,0,1,0,0,0,0,0,4,0,0,0
hsa-miR-937-3p,0,0,2,3,14,0,3,2,2,0,7,2,11,10,12,5,20
hsa-miR-938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-939-5p,0,0,3,2,23,0,6,0,5,2,4,0,8,3,11,15,6
hsa-miR-939-3p,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0
hsa-miR-940,1,0,24,36,74,0,14,8,16,18,41,19,15,43,38,32,0
hsa-miR-941,5,15,108,186,514,26,174,299,184,399,318,52,482,332,320,329,153
hsa-miR-942-5p,0,0,3,18,46,1,28,16,13,66,34,12,34,59,45,53,5
hsa-miR-942-3p,0,0,0,3,9,0,2,3,0,0,1,1,2,0,6,7,7
hsa-miR-943,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0
hsa-miR-944,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-297,0,0,0,0,4,0,2,1,0,0,0,0,0,0,2,9,0
hsa-miR-1178-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1178-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1179,0,0,0,3,11,0,3,3,2,6,9,0,2,6,3,7,0
hsa-miR-1180-5p,0,0,0,1,0,0,1,0,4,0,2,1,1,4,1,11,0
hsa-miR-1180-3p,1,21,73,186,2283,29,248,95,99,152,1119,79,779,300,589,577,114
hsa-miR-1181,0,0,0,1,10,0,0,0,1,3,5,0,2,8,6,8,3
hsa-miR-1182,0,0,6,0,6,0,0,5,1,0,0,0,0,0,3,13,5
hsa-miR-1183,0,0,0,6,22,0,2,0,4,0,0,0,0,0,3,0,0
hsa-miR-1184,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
hsa-miR-1225-5p,0,0,0,0,0,0,0,0,3,0,0,0,3,2,6,0,0
hsa-miR-1225-3p,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,21,0
