miRNA,advanced adenoma plasma EV 1,advanced adenoma plasma EV 2,advanced adenoma plasma EV 3,advanced adenoma plasma EV 4,advanced adenoma plasma EV 5,advanced adenoma plasma EV 6,colorectal cacer  plasma EV 1,colorectal cacer  plasma EV 2,colorectal cacer  plasma EV 3,colorectal cacer  plasma EV 4,colorectal cacer  plasma EV 5,colorectal cacer  plasma EV 6,healthy donor plasma EV  1,healthy donor plasma EV  2,healthy donor plasma EV  3,healthy donor plasma EV  4,healthy donor plasma EV  5,healthy donor plasma EV  6
hsa-miR-130a-5p,28,46,45,104,,100,3,34,11,95,392,202,94,145,148,90,312,19
hsa-miR-130b-5p,159,441,322,72,3,445,3,613,493,556,907,2643,792,316,213,254,482,12
hsa-miR-132-5p,15,6,,,,2,4,22,18,35,,648,36,38,29,20,,7
hsa-miR-1322,28,72,4,,,,,,16,22,90,58,36,6,,24,278,
hsa-miR-1323,,,1,,,,,,,10,,,,,,,,
hsa-miR-133a-5p,,168,2,,,,6,38,24,1068,2118,188,84,,,66,482,70
hsa-miR-133b,,9,,,,,,2,2,58,120,4,4,,,6,28,3
hsa-miR-134-5p,736,3140,632,17187,518,139,7,706,1614,361,780,1632,868,958,280,586,1469,14
hsa-miR-1343-5p,64,,,50,81,109,,2,5,3,13,,,,,4,5,
hsa-miR-135a-5p,,,,,,,,,,,27,,,3,,13,9,
hsa-miR-136-5p,54,66,,,,,3,,,,,,25,15,,,,
hsa-miR-138-5p,,,,,,,,,2,,,,,,,,,
hsa-miR-139-5p,1076,1751,460,2155,765,1637,196,992,655,1124,3645,11557,2915,2627,1275,789,2211,184
hsa-miR-140-5p,1551,6375,1650,5688,1585,5984,81,2246,798,8729,18837,11419,6473,5003,1660,2474,12893,571
hsa-miR-141-5p,37,,3,,,,,,1,9,79,106,24,44,,,11,
hsa-miR-142-5p,4003,45787,,40005,20608,38414,,1606,,8924,22753,23245,14559,22580,22384,,26654,473
hsa-miR-143-5p,414,1829,683,2400,1082,723,124,246,356,4257,97674,3549,2098,4733,1221,2263,7710,132
hsa-miR-144-5p,,,84,,259,2440,9,112,,788,1646,4456,1582,1797,,344,3712,35
hsa-miR-145-5p,143,104,66,4,1,14,11,32,42,748,8848,813,273,644,289,182,580,18
hsa-miR-1468-5p,84,46,29,137,,,,23,28,35,216,149,67,137,53,54,38,
hsa-miR-146a-5p,1566,7880,4741,8517,3405,1812,502,4095,613,3567,15101,21401,8416,5832,2912,5844,21107,923
hsa-miR-146b-5p,285,1719,1087,1820,1459,1344,69,1035,362,1576,4827,4947,2318,2850,1001,1972,6470,140
hsa-miR-147a,,,,,,,,,,,,,,,,,1,
hsa-miR-148a-3p,14873,19099,28121,13864,12579,27437,1128,15079,4903,99316,494882,308954,93390,99657,13076,38877,193684,6476
hsa-miR-148a-5p,15037,19402,28180,14534,12618,27438,1131,15137,5040,99401,495240,308956,93688,100292,13173,38977,194172,6484
hsa-miR-148b-5p,601,1763,979,806,567,1265,54,665,329,2217,6230,3709,3444,2807,481,1701,7824,369
hsa-miR-149-5p,,,3,,1,,,3,2,1,39,,,,,,12,
hsa-miR-150-5p,597,383,141,221,219,1314,55,395,213,323,589,605,1437,2146,376,263,895,117
hsa-miR-151b,6591,26945,15706,32376,10587,16060,602,12879,8949,20649,57257,431893,34502,28908,11545,22929,72198,1503
hsa-miR-152-5p,98,185,58,198,152,405,10,56,31,185,1162,631,276,236,100,131,1073,50
hsa-miR-1537-5p,,,,,,,,,,,6,,,,,,6,
hsa-miR-1538,,28,2,,,,,4,6,,,,35,,,4,,
hsa-miR-154-5p,,,8,48,,1,,2,,,8,,,,,8,,
hsa-miR-155-5p,,154,46,115,,222,24,27,44,103,284,1338,103,288,163,41,104,27
hsa-miR-15a-5p,65,3,12,55,2,68,2,4,2,56,206,367,70,3,,36,178,10
hsa-miR-15b-5p,626,1551,153,,,682,29,242,156,577,1168,,1716,,404,341,,
hsa-miR-16-5p,72715,26243,10281,21402,12123,134919,157,20259,8784,35111,40663,33686,91130,40905,31749,14548,48240,439
hsa-miR-17-5p,38,658,342,241,816,570,86,428,84,1303,2640,1554,597,443,,469,1163,102
hsa-miR-181a-5p,4006,7653,2910,15450,6154,11818,163,2546,648,8342,45714,12136,10058,15552,3498,6290,26099,748
hsa-miR-181b-5p,816,1688,248,2174,290,146,26,282,232,474,3043,430,974,1884,172,718,3489,86
hsa-miR-181c-5p,50,80,16,,72,,,6,12,38,44,,8,58,,50,164,
hsa-miR-181d-5p,16,334,100,386,,,12,72,86,86,346,402,82,348,,156,416,8
hsa-miR-182-5p,311,242,46,178,,108,10,52,23,484,518,464,492,277,250,52,1448,66
hsa-miR-183-5p,829,299,131,373,267,892,3,133,26,678,1330,1588,673,414,295,63,1151,32
hsa-miR-184,30,1,3,8,,,2,8,5,10,25,1,14,48,,10,23,5
hsa-miR-1843,520,490,181,344,57,75,3,103,121,385,1173,1452,874,972,82,587,1892,44
hsa-miR-185-5p,5507,16396,5802,17051,2598,8639,31,7296,3296,31774,58896,87394,30703,13733,4150,4217,13912,548
hsa-miR-186-5p,586,1034,1343,1436,344,2825,40,694,580,3783,7315,4647,5233,2935,573,2549,10015,294
hsa-miR-187-3p,,,,,,,,,,,,44,,,,3,,
hsa-miR-187-5p,,,,,,,,2,,2,30,44,,,,3,,
hsa-miR-188-5p,,,2,,,,,1,,2,17,,10,,,6,12,
hsa-miR-18a-5p,,,80,56,,,4,101,49,303,413,287,441,333,67,76,135,
hsa-miR-18b-5p,30,,2,,35,,,5,,16,,,,,,,,
hsa-miR-1908-5p,310,1007,272,1391,13,289,,306,207,342,423,724,550,1895,164,513,892,10
hsa-miR-1909-5p,,,,,,,,1,1,14,,,11,33,,,5,
hsa-miR-190a-5p,,,,,,,,10,4,6,,,,,,6,16,
hsa-miR-190b-5p,,58,,,,,,4,6,4,29,189,28,,,9,36,
hsa-miR-191-5p,1299,4755,2204,5733,1756,2111,424,3235,2246,6535,10918,15437,5118,5761,1386,3579,12953,763
hsa-miR-1914-5p,,,2,,,,,,2,,4,,,,,1,,
hsa-miR-192-5p,4520,3628,1948,1912,2740,2303,25,1877,1664,8592,25560,10504,10254,9220,765,5457,10023,249
hsa-miR-193a-5p,2236,4052,572,4888,1987,2331,,578,370,2951,8069,1136,4485,11862,2304,1417,5927,20
hsa-miR-193b-3p,,,,,,,2,,,,,,,,,,,
hsa-miR-193b-5p,433,411,73,438,177,447,2,65,20,227,1046,135,489,1573,169,191,409,
hsa-miR-194-5p,476,569,231,119,405,886,3,139,25,993,4717,4329,1129,1137,238,284,1011,44
hsa-miR-195-5p,45,,15,,262,6,1,16,18,70,396,80,139,66,,22,77,4
hsa-miR-196a-5p,,,,2,234,14,,,3,,24,,30,,,,17,
hsa-miR-196b-5p,,,11,91,2,,,6,34,33,70,1,44,27,,42,94,
hsa-miR-197-5p,55,25,53,112,1,270,7,61,75,122,191,116,119,116,49,59,45,47
hsa-miR-1972,241,2690,100,4273,590,672,2,96,230,170,630,726,699,488,827,664,1932,43
hsa-miR-1976,2,40,10,,,2,,,,78,,36,98,184,,24,64,
hsa-miR-199a-5p,528,2996,1000,2088,638,1305,974,866,1325,1680,11644,8772,2374,4170,1060,2279,8430,1318
hsa-miR-199b-5p,154,1150,268,818,248,250,451,186,271,603,5100,3741,677,1196,439,580,2381,635
hsa-miR-19a-5p,,24,181,168,,1553,7,108,7,790,1521,1453,421,232,,204,664,9
hsa-miR-19b-1-5p,120,89,264,167,19,661,6,169,,1225,1785,1014,612,429,,282,1031,24
hsa-miR-19b-2-5p,120,89,264,167,19,661,6,169,5,1225,1785,1014,612,429,,280,1026,24
hsa-miR-200a-5p,150,73,21,,36,191,,6,12,113,1192,332,109,160,,66,135,
hsa-miR-200b-5p,,,7,,,5,1,1,7,32,270,4,34,31,24,18,90,
hsa-miR-200c-5p,,33,5,71,,329,,18,2,24,196,225,11,,45,11,27,3
hsa-miR-202-3p,22,68,2,9,,98,,3,1,,55,96,,,,,3,
hsa-miR-202-5p,22,68,2,9,1,98,,3,1,19,55,96,,,,,3,
hsa-miR-203a-5p,,,3,,,1,1,2,,26,366,2,,81,,3,3,
hsa-miR-204-5p,229,364,21,425,268,322,,48,31,81,651,456,208,650,233,181,314,4
hsa-miR-205-5p,,,3,,,,,1,3,31,389,,,38,,4,6,
hsa-miR-206,40,,,76,1,,,2,8,1231,5348,76,11,53,69,10,18,
hsa-miR-208a-5p,,,,,,,,,,,9,,,,,,1,
hsa-miR-208b-5p,,,,,,,,,,5,7,,,,,,,
hsa-miR-20a-5p,217,421,221,40,234,783,34,168,92,827,2822,4887,518,335,325,212,539,38
hsa-miR-20b-5p,32,,30,,,222,,53,15,230,609,478,76,30,62,44,121,12
hsa-miR-21-5p,5519,20507,5462,20184,6098,13605,1483,4525,6458,8486,51860,117311,13357,19170,10669,10012,34737,1069
hsa-miR-210-5p,304,200,68,1066,124,4,4,94,106,194,486,8,504,374,100,122,646,8
hsa-miR-211-5p,,,,,,,,,,9,15,,60,,,,,
hsa-miR-2110,,,,,,,,,,,,1223,,,,,,
hsa-miR-2115-5p,23,,,43,,,,2,1,60,44,,12,234,,14,54,2
hsa-miR-2116-5p,,,3,,,,,1,,,,,,,,,,
hsa-miR-212-5p,,51,,,,,,12,4,,8,,32,,,6,10,
hsa-miR-214-5p,1,94,,,35,341,,8,,165,1123,110,40,62,62,40,58,2
hsa-miR-215-5p,68,190,128,232,15,191,1,36,16,266,1042,1321,351,704,118,293,434,10
hsa-miR-216a-5p,,,,,,,,,,,,,,,,,5,
hsa-miR-216b-5p,26,,,,,,,,,1,9,33,,,,4,4,
hsa-miR-217-5p,,,,,,,,,,,,,,5,,,,
hsa-miR-218-5p,,234,3,,,24,,3,3,306,3867,477,66,111,,48,171,9
hsa-miR-219a-5p,,,,,,,,,,,,,,,,,,17
hsa-miR-219b-5p,,,,,,,,,,,3,,5,,,,2,
hsa-miR-22-5p,53562,117864,25350,153670,50108,65040,242,23906,15830,89182,201580,41200,128834,129630,43074,54316,160580,3566
hsa-miR-221-5p,1212,2912,963,3320,774,1240,165,847,1970,1494,5041,2419,3556,5084,1027,2445,7404,603
hsa-miR-222-5p,1139,2441,1495,2705,678,1659,43,2040,2310,2539,8074,7389,4551,4360,1786,2587,6340,112
hsa-miR-223-3p,,,,,,,334,,,,,,,,,,,477
hsa-miR-223-5p,719,1680,849,2226,,1566,,1035,1514,3647,4882,16432,1344,9545,2081,1251,4675,
hsa-miR-224-5p,13,131,174,97,1,255,3,88,57,233,484,987,231,191,,110,353,20
hsa-miR-2276-5p,,,,61,,,,9,,15,14,29,10,7,,7,3,
hsa-miR-2277-5p,,,,,,234,,,1,2,12,,,92,,6,37,
hsa-miR-2278,,,,,,,,,1,,8,,,,,,3,
hsa-miR-2355-5p,10,,16,55,1,,1,13,23,20,52,282,24,47,,33,81,4
hsa-miR-23a-5p,490,,190,822,,,98,288,202,760,3742,3218,942,,,512,1746,380
hsa-miR-23b-5p,14,528,61,465,1,34,14,117,126,78,,668,,314,20,131,,
hsa-miR-23c,,,,,,2,,,,,,,1,4,,,,
hsa-miR-24-1-5p,3672,10663,5418,9074,4417,7966,172,5083,2413,12337,49255,43326,13570,16308,2429,6666,24110,607
hsa-miR-24-2-5p,7560,21896,11014,18788,9318,15972,352,10284,5034,25574,100868,89386,27614,34258,5224,13806,49740,1226
hsa-miR-24-3p,7342,21320,10832,18018,8832,15688,338,10160,4816,24658,98144,86432,27110,32604,4854,13316,48176,1212
hsa-miR-2467-5p,,,,,,,,,,,,,,,,,4,
hsa-miR-25-5p,9607,16750,7467,18732,8739,15021,63,6571,2434,23910,69588,32999,36945,19505,6875,10312,28543,2814
hsa-miR-2682-5p,,,,,,1,,,,,,,,,,,,
hsa-miR-26a-5p,10570,32726,6794,30085,13072,22652,5402,8327,10860,12639,43735,150222,24235,38242,26246,12053,36404,7861
hsa-miR-26b-5p,548,1121,417,847,448,715,221,406,225,704,3322,8648,1117,1166,458,429,1311,336
hsa-miR-27a-5p,6054,8702,1306,3806,4532,13962,396,950,704,7218,59554,134244,8938,22058,3370,2898,20486,796
hsa-miR-27b-5p,1167,2012,230,835,1071,1363,127,238,168,1066,17753,6871,3058,4464,1036,806,4538,221
hsa-miR-28-5p,322,1098,543,2193,437,251,36,874,901,929,3955,1424,1992,2566,515,1494,5262,128
hsa-miR-296-5p,7,,,128,216,74,,14,9,22,52,190,30,15,,4,69,5
hsa-miR-299-5p,,,,,,,1,,,,3,11,8,,,,4,
hsa-miR-29a-5p,257,1140,134,709,919,2289,18,93,72,478,3104,1769,646,1317,865,301,2050,37
hsa-miR-29b-1-5p,38,6,,,,6,5,3,,23,58,,14,52,,15,63,3
hsa-miR-29b-2-5p,81,6,3,,,6,5,9,3,29,58,,37,,,21,83,6
hsa-miR-29b-3p,,,,,,,,,,,58,,,,,,,
hsa-miR-29c-5p,,57,,23,67,87,3,,,,183,,,,1,,,
hsa-miR-301a-5p,,2,6,,,,,10,6,2,31,2,,,,18,,
hsa-miR-301b-5p,,,,,,,,,1,,,,9,,,5,7,
hsa-miR-3064-5p,2,,3,52,,,,5,8,7,17,173,27,27,,15,,
hsa-miR-3065-5p,,,,,,,1,,,,,,,,,,2,
hsa-miR-3074-5p,60,,12,,,,,56,60,12,20,,12,544,,61,248,
hsa-miR-30a-5p,242,,255,315,575,1032,75,249,,1055,,1515,,,531,270,,108
hsa-miR-30b-5p,1,204,12,37,177,29,445,13,28,30,106,305,46,63,,45,162,329
hsa-miR-30c-5p,35,706,99,469,200,691,239,181,216,470,1173,3012,530,731,244,328,808,493
hsa-miR-30d-5p,6784,15297,9377,18303,10265,20799,281,14492,3464,20408,59468,60280,27855,22492,9675,8519,23932,398
hsa-miR-30e-5p,1451,2767,1255,1895,1525,5320,63,1373,668,4098,9528,6081,2928,2861,1745,1104,4280,134
hsa-miR-31-5p,1,,,94,,1,,,,,,,,30,,,,
hsa-miR-3115,,,,,,,,3,,,,,,,,,3,
hsa-miR-3120-5p,69,144,45,86,,2,1,42,35,22,65,295,82,96,,41,,
hsa-miR-3122,,,,11,,,,,,,5,,,,,,5,
hsa-miR-3124-5p,,,10,76,,,,6,11,17,30,,24,69,,4,18,
hsa-miR-3126-5p,,,,,,,,,,,2,,,,,,,
hsa-miR-3127-5p,,,,89,1,,,23,8,28,59,,24,94,,8,19,
hsa-miR-3128,,,,,,,,,,,,,,,,1,7,
hsa-miR-3129-5p,,,,,,,,,,6,,,,,,,,
hsa-miR-3130-5p,32,,,198,136,112,,,6,,,,18,112,,8,,
hsa-miR-3131,,,,,,,,,,,,,,,,6,8,
hsa-miR-3135a,,,,,,,,,,,,,14,,,,,
hsa-miR-3136-5p,,,,,,,1,1,,5,,,,,,,11,
hsa-miR-3137,,,,,,,,,,,,,,,,1,6,
hsa-miR-3138,62,,10,218,100,4,,27,16,8,14,51,47,52,33,26,73,3
hsa-miR-3140-3p,,,,,,,,,,,,,31,,,,,
hsa-miR-3140-5p,,,,,,,,2,,8,36,,31,33,,,3,
hsa-miR-3141,,11,,,,,,,,,,,,,,,5,
hsa-miR-3143,,,3,73,,,,1,,4,26,24,29,,,2,19,
hsa-miR-3145-5p,,,,,,,,,,,3,,,35,,,,
hsa-miR-3146,,,,,,,,,1,2,8,,,,,,,
hsa-miR-3148,,,,,,,,,,,9,1,,,,,,
hsa-miR-3150a-5p,28,15,3,38,,,,10,4,11,36,68,38,40,,4,1,
hsa-miR-3150b-5p,,,6,,,63,,7,4,29,42,2,42,58,,4,23,
hsa-miR-3151-5p,37,25,,,,,,,,,6,,13,9,1,,,
hsa-miR-3155b,19,,,,,,,2,1,4,3,1,9,,,4,9,
hsa-miR-3156-3p,,,,,,,,,,1,,,,,,,,
hsa-miR-3157-5p,,51,11,,,,,3,5,52,68,43,32,43,,17,84,
hsa-miR-3158-5p,2698,4232,678,5370,1626,5162,40,1318,592,3006,4012,14106,5798,2904,3952,1872,3882,114
hsa-miR-3160-5p,,,4,,,,,,4,,16,,8,,,,4,
hsa-miR-3161,,,,,,,,,4,,,,,,33,4,12,
hsa-miR-3163,,,2,,,,,,,,,,9,,,,,
hsa-miR-3164,,,2,,,,,2,2,10,38,,,8,,,10,
hsa-miR-3165,,,,,,,,,,,,,,,,1,,
hsa-miR-3173-5p,15,27,25,,,46,,19,7,30,17,65,36,85,,,,
hsa-miR-3174,,,,,,,,,,,4,,,,,,,
hsa-miR-3175,,,,,,,,8,2,,,,,,,,20,
hsa-miR-3176,,41,,22,,,,1,,7,6,73,57,46,,9,32,
hsa-miR-3177-5p,29,62,14,54,116,,2,13,17,21,64,28,60,76,,14,78,7
hsa-miR-3181,,,,,,,,,,,,,1,,,,,
hsa-miR-3186-5p,,,,,,,,,,,,,,,,,2,
hsa-miR-3187-5p,58,62,6,,,,,5,7,21,28,3,43,17,,12,12,
hsa-miR-3188,,40,1,,,,,2,3,,,2,,,,,18,
hsa-miR-3190-3p,,84,12,,,,,5,14,,13,12,23,76,,8,17,
hsa-miR-3190-5p,,84,12,,,,,5,14,,13,12,23,76,,8,17,
hsa-miR-3191-5p,,,,,,,,4,4,2,,,,,,11,9,
hsa-miR-3192-5p,,,,,,,,1,2,4,3,,5,,,,1,
hsa-miR-3193,,,,,,,,,,,,,,,,,3,
hsa-miR-3194-5p,,,,,,,,,,,,89,,,,,,
hsa-miR-3198,76,49,2,,,162,,2,16,12,10,,,,64,8,20,
hsa-miR-3199,37,17,14,51,,,,,12,5,6,,14,84,308,,,
hsa-miR-32-3p,,1,,,,,4,,2,,,,,,,,,
hsa-miR-32-5p,58,3,29,,,328,5,3,6,29,538,1419,79,159,,62,233,
hsa-miR-3200-5p,,13,2,,,,,3,,10,20,,8,38,,,,
hsa-miR-3202,,,,,,292,,,,14,,,,,,4,,
hsa-miR-320a-3p,,517568,,1142243,264326,,,,,,,,,,,,,
hsa-miR-320a-5p,242621,,82910,,,214127,130,170200,83562,231955,389670,171188,391848,338004,197618,57975,157512,3742
hsa-miR-320b,33392,141039,6365,301016,82064,91577,20,12236,5947,17373,32826,11105,36031,109657,33803,6985,17763,412
hsa-miR-320c,26763,46872,1702,74281,26358,51436,3,3321,2382,5209,11629,6167,14336,51389,26063,4127,8264,138
hsa-miR-320d,21696,28470,166,26496,9747,12257,,242,1119,513,7211,911,6598,23849,9305,2088,5714,
hsa-miR-320e,828,1526,203,2979,679,736,,389,194,639,926,669,967,959,793,190,338,
hsa-miR-323a-5p,,51,13,312,,1,,16,12,15,76,52,24,63,52,19,57,3
hsa-miR-323b-5p,21,84,31,339,,,1,10,13,19,44,231,107,,,14,71,7
hsa-miR-324-5p,49,101,16,164,,148,3,14,11,16,72,52,76,84,,27,77,
hsa-miR-326,132,85,47,241,80,238,44,37,32,30,95,1,205,339,85,125,558,50
hsa-miR-328-5p,3184,1721,2403,2591,1029,3422,10,2281,2334,2978,5803,5427,8561,4866,3584,2507,1124,111
hsa-miR-329-5p,,,14,,2,5,,14,2,4,42,,28,2,,10,128,10
hsa-miR-330-5p,67,243,153,640,2,238,4,312,270,244,,1285,420,769,217,312,676,31
hsa-miR-331-5p,149,6,42,116,,193,4,52,45,66,264,175,252,123,77,59,167,12
hsa-miR-335-5p,47,121,71,297,2,149,13,54,50,133,573,1853,74,139,217,75,125,28
hsa-miR-337-5p,,,,59,,,,,2,7,15,4,18,,,4,3,
hsa-miR-338-5p,1,157,23,,245,,,32,30,106,318,254,107,266,,73,156,15
hsa-miR-339-5p,433,816,276,996,148,786,18,372,252,772,1398,334,1485,2219,553,612,2865,54
hsa-miR-33a-5p,,,,,1,,,1,1,,,52,8,,,,18,
hsa-miR-33b-5p,,,,,,,,,,,,,,,,,1,
