Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-miR-4325,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4326,0,2,6,7,3,0,0,0,2,2,3,0,2,0,0,0,0,2,0,0,1,1,2,3,11
hsa-miR-4327,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4265,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,6,0
hsa-miR-4266,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4262,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2355-5p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0
hsa-miR-2355-3p,145,241,65,174,67,1,1,13,58,3,70,2,42,18,14,40,37,135,41,27,56,60,56,44,23
hsa-miR-4268,3,3,0,1,7,0,0,0,1,0,0,0,2,0,0,0,9,3,5,0,0,0,0,0,0
hsa-miR-4269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0
hsa-miR-4263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4270,34,7,17,9,3,0,0,6,1,0,12,3,3,0,5,1,0,0,6,0,3,6,3,27,6
hsa-miR-4271,0,5,24,1,2,0,0,8,0,0,12,0,2,4,1,0,0,1,2,0,1,2,5,10,0
hsa-miR-4272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4273,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-4276,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4274,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
hsa-miR-4281,3,2,23,4,8,0,0,4,0,0,0,1,5,2,0,0,6,0,0,0,6,14,15,211,4
hsa-miR-4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4279,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,2,2,0,0
hsa-miR-4278,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4280,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4285,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4283,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4284,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4286,4,4,33,14,4,0,0,5,36,0,20,0,6,0,12,23,2,11,10,0,3,9,9,0,1
hsa-miR-4287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-4288,4,21,3,15,1,0,0,0,0,0,3,0,0,0,0,2,3,1,0,1,0,4,5,5,0
hsa-miR-4292,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4289,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4290,2,3,2,6,6,0,0,3,6,1,11,3,0,0,0,1,0,5,2,0,3,7,6,26,0
hsa-miR-4291,24,124,35,48,17,0,0,6,8,0,1,0,2,0,0,11,1,16,15,0,4,16,11,26,9
hsa-miR-4329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4330,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
hsa-miR-500b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-500b-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-4328,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3605-5p,29,56,22,77,37,0,0,11,28,2,44,0,8,7,4,5,4,16,27,1,15,15,18,23,4
hsa-miR-3605-3p,303,382,144,602,190,2,4,61,89,14,435,12,80,11,27,85,77,184,152,32,129,122,181,171,59
hsa-miR-3606-5p,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3606-3p,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-3609,0,1,58,0,6,0,0,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-3610,5,0,7,3,0,0,0,0,0,0,3,0,1,0,0,0,0,4,2,0,0,0,0,0,0
hsa-miR-3611,457,857,240,870,236,0,1,12,45,1,198,2,59,15,7,36,86,336,64,48,121,137,164,158,48
hsa-miR-3612,4,47,21,10,1,0,0,3,0,0,4,0,3,0,0,2,9,2,4,0,5,4,0,15,12
hsa-miR-3613-5p,335,434,153,651,308,0,1,14,32,1,505,1,87,18,1,17,69,119,213,27,111,48,53,182,59
hsa-miR-3613-3p,18,21,95,56,26,0,3,39,12,1,67,3,15,0,3,25,19,34,29,13,4,38,12,80,23
hsa-miR-3614-5p,2,12,12,79,8,0,2,0,4,0,15,0,8,0,4,0,0,3,2,3,1,4,14,0,0
hsa-miR-3614-3p,31,28,152,141,43,2,0,4,11,6,70,7,14,28,3,15,36,13,28,7,43,44,16,63,12
hsa-miR-3615,279,470,517,1070,496,2,5,42,99,14,1165,27,153,56,45,50,110,162,448,52,244,188,365,108,68
hsa-miR-3616-5p,0,0,9,4,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,9
hsa-miR-3616-3p,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
hsa-miR-3617-5p,363,358,67,748,311,3,1,45,81,11,125,4,136,2,25,334,161,172,294,39,142,233,211,113,137
hsa-miR-3617-3p,25,9,7,48,30,0,0,4,5,0,53,10,4,0,1,13,14,8,14,2,4,5,6,47,45
hsa-miR-3618,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3619-5p,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0
hsa-miR-3619-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
hsa-miR-23c,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-3620-5p,24,70,42,123,17,0,0,14,8,2,6,0,8,9,0,9,7,17,15,2,9,37,21,27,5
hsa-miR-3620-3p,1,4,0,6,2,0,0,3,0,5,11,0,1,0,0,2,9,7,5,2,2,7,5,13,3
hsa-miR-3621,3,12,13,4,4,0,0,3,0,1,0,0,0,0,0,3,3,0,0,0,0,3,7,16,3
hsa-miR-3622a-5p,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622a-3p,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
hsa-miR-3622b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3646,0,3,0,6,0,0,0,0,0,0,15,0,4,0,0,0,2,1,0,0,0,1,5,0,0
hsa-miR-3648,0,1,134,35,9,0,0,1,0,0,14,0,0,9,0,0,2,0,0,2,2,1,1,13,0
hsa-miR-3649,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4
hsa-miR-3650,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3651,0,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3652,10,2,24,13,7,0,0,0,2,0,40,8,7,1,0,2,6,3,0,4,8,4,4,58,0
hsa-miR-3654,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
hsa-miR-3657,2,16,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0
hsa-miR-3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3659,1,0,1,13,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
hsa-miR-3660,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
hsa-miR-3661,15,5,5,20,3,0,0,0,2,0,9,1,4,0,2,2,1,6,3,2,0,0,4,0,0
hsa-miR-3662,0,0,21,4,2,0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,3,0,3
hsa-miR-3663-5p,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3663-3p,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,6,0
hsa-miR-3664-5p,6,3,1,16,2,0,0,0,1,0,9,0,6,0,0,0,4,1,1,0,0,0,1,0,0
hsa-miR-3664-3p,7,0,3,0,0,0,0,1,0,0,3,0,0,6,0,0,0,3,3,0,4,6,3,0,0
hsa-miR-3665,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
hsa-miR-3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3667-5p,16,13,45,56,26,0,0,7,18,0,38,5,10,5,2,12,14,17,40,9,23,4,44,7,5
hsa-miR-3667-3p,7,5,23,23,15,0,1,2,1,0,0,1,13,0,0,2,16,1,1,1,3,0,6,1,13
hsa-miR-3668,4,2,12,10,4,0,0,16,0,1,14,0,6,0,0,1,0,0,3,4,0,6,5,7,9
hsa-miR-3670,1,7,8,0,0,0,0,1,3,1,13,0,0,0,0,1,0,0,0,0,2,0,0,0,6
hsa-miR-3671,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3672,0,3,1,3,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,8,5
hsa-miR-3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-3675-5p,5,23,8,8,21,0,0,15,3,0,16,1,0,0,2,5,10,18,2,7,15,7,10,9,0
hsa-miR-3675-3p,2,2,10,12,2,0,0,0,0,0,3,1,0,0,2,1,0,3,11,2,5,0,0,4,0
hsa-miR-3677-5p,4,8,129,7,1,0,0,0,2,0,9,0,4,0,0,0,6,6,0,2,0,3,0,12,0
hsa-miR-3677-3p,0,1,184,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-3678-5p,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3678-3p,7,12,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,3,5,0,0
hsa-miR-3679-5p,313,453,106,980,126,0,2,276,241,9,238,2,70,6,12,87,2,168,113,20,141,116,178,367,56
hsa-miR-3679-3p,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
hsa-miR-3680-5p,6,3,4,6,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,2,0,0,0
hsa-miR-3680-3p,3,7,22,25,9,0,0,6,1,2,10,3,9,0,1,1,3,0,0,1,1,0,0,10,3
hsa-miR-3681-5p,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-3681-3p,0,0,1,0,0,0,1,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-3682-5p,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8
hsa-miR-3682-3p,28,31,9,64,6,0,0,13,9,3,18,1,16,0,4,3,2,3,5,2,12,7,14,8,0
hsa-miR-3683,0,19,0,18,3,0,0,3,3,0,0,0,2,0,1,8,2,2,3,0,4,3,5,8,5
hsa-miR-3684,5,6,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0
hsa-miR-3685,1,1,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,4,2,1,8,0
hsa-miR-3686,1,2,17,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,7,0,0
hsa-miR-3688-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-3688-3p,101,146,50,177,85,0,0,4,29,0,94,4,22,3,5,14,10,59,45,12,47,25,24,40,21
hsa-miR-3689a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3689a-3p,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-3690,0,3,0,7,0,0,0,0,4,0,4,0,0,0,1,0,0,0,2,0,1,0,0,0,0
hsa-miR-3691-5p,9,12,19,19,0,0,0,6,5,0,7,0,1,0,0,1,0,12,0,0,1,2,1,5,0
hsa-miR-3691-3p,0,7,0,9,0,0,0,5,0,2,0,0,1,0,0,0,0,2,0,0,3,3,8,0,0
hsa-miR-3692-5p,4,25,259,20,12,1,0,15,0,2,17,0,5,0,5,13,0,5,1,1,0,6,8,20,3
hsa-miR-3692-3p,0,2,8,0,7,0,0,5,0,0,1,0,0,0,0,0,2,3,3,0,1,8,0,2,0
hsa-miR-3713,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-3714,1,3,3,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3907,0,1,3,4,1,0,0,0,0,1,11,1,0,0,0,0,2,0,0,0,0,0,4,2,0
hsa-miR-3689b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3689b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3908,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3909,3,6,6,6,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,1,0,4,3,2,0
hsa-miR-3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3911,1,9,1,28,3,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,2,12,0,0,0
hsa-miR-3912-5p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3912-3p,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3913-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3913-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3914,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3915,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0
hsa-miR-3916,7,8,3,26,3,0,0,19,4,4,20,5,2,0,0,3,9,5,3,0,1,6,7,35,13
hsa-miR-3917,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-3918,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
hsa-miR-3919,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3150b-5p,3,6,0,27,0,0,0,0,0,0,3,1,0,0,0,0,0,2,2,1,2,6,11,0,0
hsa-miR-3150b-3p,5,7,116,14,7,0,0,9,1,1,4,0,0,0,1,1,1,3,3,0,0,7,1,0,0
hsa-miR-3920,31,61,42,47,20,0,0,12,4,0,27,0,18,0,1,10,7,15,10,4,9,23,25,8,14
hsa-miR-3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3922-5p,16,26,6,41,4,0,0,0,3,0,0,0,1,0,1,4,1,7,1,0,5,6,0,0,0
hsa-miR-3922-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
hsa-miR-3923,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3925-5p,1,12,8,16,2,0,0,0,0,0,14,0,3,0,0,5,11,3,11,4,5,0,0,0,0
hsa-miR-3925-3p,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3926,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-3927-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3927-3p,0,1,4,2,4,2,0,0,0,0,4,0,0,0,0,0,6,0,2,0,0,0,0,6,0
hsa-miR-676-5p,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,6,0,1,0,0,1,0
hsa-miR-676-3p,2,14,16,18,16,0,0,0,1,0,13,0,6,0,2,0,2,1,6,0,1,0,9,5,0
hsa-miR-3928-5p,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,0,1,0,0,0,0
hsa-miR-3928-3p,272,407,136,368,71,1,4,82,96,5,151,5,92,16,26,117,44,164,122,24,79,109,132,57,7
hsa-miR-3929,0,0,5,4,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,12,0
hsa-miR-3934-5p,5,13,6,4,1,0,0,0,0,3,21,1,2,9,1,0,0,0,2,0,0,0,3,9,1
hsa-miR-3934-3p,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-3935,0,1,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-3936,0,0,2,0,0,0,0,1,0,2,7,0,3,0,0,0,0,0,0,2,0,0,1,0,0
hsa-miR-3937,0,0,0,0,3,0,0,0,1,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3938,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-548y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-3939,18,6,0,51,2,0,0,1,3,0,0,0,5,0,0,8,6,3,5,1,4,4,7,2,0
hsa-miR-3940-5p,10,11,38,29,7,1,0,0,15,0,9,0,9,0,0,3,4,2,0,3,3,20,7,23,6
hsa-miR-3940-3p,112,150,77,292,73,0,1,15,23,2,383,13,43,14,2,20,37,55,78,13,104,55,35,125,19
hsa-miR-3941,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-3942-5p,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3942-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,3,0,0,0
hsa-miR-3943,0,1,0,3,0,0,0,0,0,0,0,1,4,7,0,0,0,0,2,0,0,0,0,2,0
hsa-miR-3944-5p,6,4,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
hsa-miR-3944-3p,0,5,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0
hsa-miR-3945,0,1,2,10,0,0,0,7,1,0,5,0,0,0,0,2,2,0,2,2,6,0,4,4,0
hsa-miR-374c-5p,25,70,27,25,46,0,0,0,17,3,58,1,8,4,2,5,7,22,23,4,18,23,5,19,0
hsa-miR-374c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-642b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-642b-3p,1,5,0,1,0,0,0,2,0,0,14,0,0,0,0,0,10,0,3,2,0,5,0,0,3
hsa-miR-550b-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-550b-3p,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,5,1,0,1,0,0,0,0
hsa-miR-548z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548o-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1268b,13,32,32,29,5,4,2,5,8,3,26,0,14,3,1,3,8,7,0,0,2,5,19,22,12
hsa-miR-378e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ab,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,2,0,0
hsa-miR-4418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-378f,2,7,19,24,10,0,1,0,0,0,13,0,6,0,1,1,6,6,0,0,0,5,1,11,0
hsa-miR-4420,0,0,0,0,0,0,0,4,4,0,0,0,2,0,1,0,0,0,0,0,0,0,10,0,6
hsa-miR-4421,0,3,8,0,2,0,0,0,3,0,6,0,0,0,0,1,2,0,2,0,1,4,2,1,8
hsa-miR-4422,14,38,6,35,5,0,0,0,11,1,21,0,7,0,0,9,5,7,13,3,2,10,22,4,0
hsa-miR-4423-5p,1,0,2,13,4,0,0,1,0,0,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0
hsa-miR-4423-3p,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-378g,0,7,0,8,0,0,0,0,2,0,6,1,0,0,0,0,0,2,0,2,1,0,1,0,15
hsa-miR-548ac,0,1,0,14,1,0,0,0,0,0,6,0,2,0,0,3,0,0,1,0,21,12,0,0,0
hsa-miR-4424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4425,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-4426,1,0,8,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-4427,0,1,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
hsa-miR-4428,0,0,0,0,4,0,0,0,0,2,5,0,0,6,0,1,0,0,0,0,0,1,0,0,0
hsa-miR-4429,11,3,20,16,9,0,0,4,0,1,14,1,4,6,4,8,4,1,7,2,0,2,13,20,5
hsa-miR-4430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0
hsa-miR-548ad-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ad-3p,1,1,6,0,5,0,0,0,0,1,8,0,0,0,0,1,0,0,4,0,0,0,4,0,0
hsa-miR-4431,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4433a-5p,153,346,51,495,184,1,19,332,228,11,217,5,176,9,49,105,107,297,68,29,186,205,287,524,39
hsa-miR-4433a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4434,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
hsa-miR-4435,101,154,158,321,19,0,0,39,23,1,32,0,8,5,3,33,17,65,41,12,29,33,29,19,4
hsa-miR-4436a,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0
hsa-miR-4437,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
hsa-miR-548ae-3p,0,11,0,4,3,0,0,0,2,0,4,0,0,0,0,0,1,4,0,2,0,0,1,0,0
hsa-miR-548ae-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4438,0,5,2,4,3,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
hsa-miR-4439,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4440,5,6,1,23,7,0,0,0,3,1,7,0,1,9,2,0,3,0,14,0,4,3,3,4,10
hsa-miR-4441,0,0,0,0,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0
