GeneID	GSM4749051	GSM4749056	GSM4749073
105378609	0	0	0
57212	2	0	0
148870	0	0	0
388588	0	0	0
57470	4	0	3
9731	1	4	5
1677	2	0	0
107984910	0	0	0
339448	2	2	0
100133612	0	0	0
728716	0	0	0
105376672	0	0	0
105376673	0	0	0
284661	0	0	0
105376674	0	0	0
105376679	0	0	0
107985376	0	0	0
55966	0	0	0
105376680	0	0	0
102724429	0	0	0
105376681	0	0	0
105376682	0	0	0
107984911	0	0	0
105376686	0	0	0
100616421	0	0	0
261734	2	0	2
8514	1	0	1
26038	0	0	0
105376687	0	0	0
6146	9	9	10
107985733	0	0	0
102724450	0	0	0
388591	0	0	0
23463	2	3	3
148645	0	0	0
390992	0	0	0
387509	1	2	3
11332	2	0	0
54626	0	1	0
83715	0	0	1
100422975	0	0	0
8718	1	0	0
57449	0	0	1
79707	3	4	6
80835	0	0	0
107984912	0	0	0
3104	0	1	1
9903	4	0	3
107984913	0	0	0
148479	1	1	1
90326	0	0	0
55735	0	0	0
100505887	0	0	0
110841581	0	0	0
23261	3	5	0
105376692	0	0	0
102725193	0	0	0
101928836	0	0	0
105376691	0	0	0
105376689	0	0	0
9341	6	3	9
8863	0	5	2
10911	0	0	0
3604	0	0	2
11315	6	1	11
54206	11	12	7
107984915	0	0	0
102724539	0	0	0
105376695	0	0	0
50651	0	0	0
473	10	2	3
102724552	0	0	1
106632271	0	0	0
2023	29	26	28
102465436	0	0	0
100505975	0	0	0
112268261	0	0	0
765	0	0	0
155184	0	0	0
6518	1	0	1
80045	2	1	0
106614088	1	0	0
407040	1	0	0
102724571	0	0	0
9563	12	2	8
80176	0	0	0
100506022	0	0	0
84275	2	0	2
199953	0	0	0
107985734	0	0	0
105376712	0	0	0
5293	2	0	2
644997	0	0	0
101929074	0	0	1
22883	13	5	10
56998	2	2	2
105376717	0	0	0
84328	2	5	3
64802	0	0	2
113391335	0	0	0
100847055	0	0	0
116362	0	0	0
10277	10	3	4
23095	6	3	15
105376725	0	0	0
5226	3	9	11
100526739	0	0	0
378708	0	0	0
1325	0	0	0
1676	1	0	2
5195	0	0	0
54897	1	2	1
105376733	0	0	0
105376735	0	0	0
148345	0	0	0
23435	8	4	14
10747	0	0	0
6723	4	0	1
5394	1	1	4
105376736	0	0	0
2475	5	4	8
100873935	0	0	0
10218	0	0	0
29914	0	1	1
105376737	0	0	0
105376739	0	0	0
105376740	0	0	0
57540	0	0	0
112268221	0	0	0
101929181	0	0	0
26232	0	0	0
93611	0	0	1
26270	0	0	0
10459	1	2	0
374946	0	0	0
57085	0	1	2
284498	2	0	0
102724659	0	0	0
4524	4	1	6
1185	1	0	0
100379251	0	0	0
4878	0	0	0
4879	0	0	0
26829	55137	55184	3223
90231	2	1	4
5351	0	4	4
9927	3	2	3
60672	0	0	0
102466982	0	0	0
943	0	0	0
102465836	0	0	0
7133	2	2	4
100616438	0	1	0
107984917	0	0	0
55187	20	12	17
677885	14	8	9
105376744	0	1	0
9249	0	2	1
102466722	0	0	0
343066	0	0	0
126767	0	1	0
93190	0	0	1
390999	0	0	0
65121	0	0	0
105376745	0	0	0
440560	0	0	0
343069	0	0	1
65122	0	0	0
400735	0	0	0
343071	0	0	0
441871	0	0	0
440561	0	0	0
101929983	0	0	0
649330	0	0	0
441873	0	0	0
649324	0	0	0
440563	0	0	1
645354	0	0	0
645359	0	0	0
101060301	0	0	0
343070	0	0	0
400736	0	0	0
391003	0	0	0
343068	0	0	0
391002	0	0	0
645382	0	0	0
653619	0	0	0
729528	0	0	0
645414	0	0	0
391004	0	0	0
645425	0	0	0
126755	0	0	0
102724856	0	0	0
107984918	0	0	0
10630	4	3	1
107984919	0	0	0
105378612	0	0	0
105376756	0	0	0
7799	10	8	11
23254	2	2	0
107985467	0	1	0
107985468	0	0	0
105376762	0	0	0
105376759	0	0	0
107985469	0	0	0
200197	1	1	0
55092	2	0	0
727684	0	0	1
114827	0	0	0
101927417	0	0	0
101927441	0	0	0
79180	2	1	2
11330	0	0	0
63036	0	0	0
105376767	0	0	0
51032	0	0	0
842	1	0	1
23341	10	3	8
107397391	0	0	1
79814	1	1	1
84301	16	7	10
6248	1	1	1
23207	1	4	2
284723	0	0	0
110806303	0	0	0
388595	0	0	0
54751	1	1	0
440567	0	0	0
729614	3	0	0
23013	14	5	12
7709	0	0	0
149563	0	0	0
27129	0	0	0
1187	0	0	1
1188	0	0	0
348487	0	1	0
1969	0	1	1
101927479	0	0	0
128272	0	0	0
101927546	0	0	0
79363	0	0	0
54455	1	2	0
26099	4	2	4
374955	2	2	3
55707	2	2	2
107984921	1	0	0
114819	0	0	0
26871	6883	5534	8435
107985757	1	0	0
100132147	14	34	14
107985758	14	34	14
7195	8	87	12
55672	1	1	2
105376794	1	1	2
84809	1	0	2
11209	0	0	0
107985736	0	0	0
26869	6890	5581	8409
107985759	0	3	3
284729	0	0	0
100189045	0	0	0
6060	7336	5844	8869
11223	0	0	0
100500876	0	0	0
100189298	8	89	12
112267871	12	30	12
7193	12	30	12
100189183	0	0	0
105376805	0	0	0
791226	5	5	1
26870	7299	5834	8841
9696	0	0	1
4237	0	1	1
105376806	0	0	1
23400	4	0	3
6390	4	4	0
11240	2	0	0
105376808	0	0	0
400743	0	0	0
29943	0	0	0
51702	0	0	0
100616188	0	0	0
23569	0	0	0
353238	0	0	0
55920	12	8	6
55160	3	2	3
107984028	0	0	0
81569	0	0	1
105376809	0	0	0
105376812	0	0	0
101927876	0	0	0
84966	0	0	0
105376814	0	0	0
127707	0	0	0
5081	0	0	0
80834	0	0	0
8659	1	0	1
100616120	0	0	0
100302276	0	0	0
126917	1	2	1
105376815	0	0	0
23352	21	17	28
101927895	0	0	1
23065	1	2	6
51154	0	1	2
246181	0	0	0
22977	0	0	0
100506730	0	1	0
8574	0	2	0
54896	0	0	0
832	5	10	8
105376819	0	0	0
105376818	0	0	0
105376817	0	0	0
105378614	0	0	0
440574	2	0	3
100532736	2	4	2
644068	0	0	2
4681	2	4	1
3362	0	0	0
255104	1	0	0
54546	0	0	0
105376823	0	0	0
23252	4	2	2
30814	0	0	0
5320	1	2	0
5322	0	0	0
26279	2	0	0
64600	0	0	0
391013	0	0	0
127733	0	0	0
101928017	0	0	0
105376825	0	0	0
105376826	0	0	0
105376827	0	0	0
105376828	0	0	0
127731	0	0	0
339505	0	0	0
55450	9	0	1
79594	1	1	1
163933	0	0	0
978	0	0	0
65018	0	0	1
102464833	0	0	0
100861548	1	1	2
1650	7	4	8
57576	0	0	0
400745	0	0	0
112268222	4	2	4
50809	13	3	19
8672	8	6	5
105376830	0	0	0
105376829	0	0	0
100302155	0	0	0
1889	16	3	14
100506801	0	0	0
105376832	0	0	0
84224	1	1	0
249	0	0	0
105376834	0	0	0
5909	2	0	2
84196	9	4	17
401944	0	0	0
3339	19	30	17
23436	0	0	0
10136	0	0	0
101928043	0	0	0
29092	1	0	0
112268223	0	0	0
998	14	12	15
54361	0	0	0
105376845	0	0	0
105376850	0	0	0
107985377	0	0	0
100616433	0	0	0
105376856	0	0	0
9923	2	1	3
2046	0	0	0
102466615	0	0	0
712	8	0	3
714	7	0	3
713	10	3	2
2048	0	1	2
100616391	0	0	0
100422914	0	0	0
646262	0	0	0
729059	0	0	0
23028	0	1	7
100422866	0	1	0
7798	5	1	2
3352	0	0	0
100996511	2	2	0
10236	12	9	22
80818	4	2	2
148898	0	0	0
6920	2	1	1
55616	0	1	3
1870	1	0	4
101928163	0	0	0
105376859	0	0	0
3399	2	4	2
107984928	0	0	0
259283	0	0	0
6135	6	10	8
6924	1	3	5
100506963	1	1	1
57095	0	1	1
105376860	0	0	0
11313	0	0	0
2582	1	1	2
3155	0	0	1
105376861	0	0	0
2517	2	3	9
1269	0	0	0
107984929	0	0	0
100616492	0	0	0
55629	5	3	9
10772	8	4	16
105378615	0	0	0
105376863	0	0	0
107984931	0	0	0
127294	0	0	0
107985737	0	0	0
105376864	0	0	0
58985	0	0	0
163702	0	0	1
284632	0	0	0
105376871	0	0	0
57822	0	0	0
90529	0	0	1
57185	4	3	6
100750325	0	0	0
11123	1	4	7
100506985	0	0	0
400746	0	0	3
10250	6	5	16
25932	28	13	14
105376876	0	0	0
864	1	0	0
102465437	0	0	0
107984932	0	0	0
105376878	0	0	1
100616365	0	0	0
105376879	0	0	0
25949	1	0	3
57035	9	5	2
105376882	0	0	0
6007	0	1	1
23585	8	0	8
6006	4	1	2
55219	2	2	4
26119	3	0	2
57134	0	0	1
57190	3	2	0
56181	1	1	1
646471	1	0	0
79000	0	1	1
164091	0	0	0
3925	19	3	9
100500808	0	1	0
105376885	0	0	0
5051	1	2	2
101928216	0	0	0
2134	1	0	0
7780	0	0	0
105376910	0	0	0
84676	0	0	0
149420	3	0	3
105376886	0	0	0
79927	0	0	0
110806296	0	0	0
51042	0	0	0
10256	0	0	1
378807	0	0	0
101928303	0	0	0
64793	1	0	4
83442	0	0	1
91544	0	0	3
1043	0	0	2
55057	0	0	1
257101	0	1	0
79727	0	0	1
79947	1	2	3
101928324	0	0	0
3151	8	2	6
6195	0	0	1
100302190	0	0	0
105376888	0	0	0
101928728	0	0	0
8289	7	1	15
55650	0	0	1
84243	0	0	1
2810	1	0	0
54707	1	0	0
63906	0	0	2
10726	2	1	2
8431	0	0	0
126695	0	0	0
388610	0	0	0
115572	0	1	3
101928391	0	0	0
6548	0	1	0
102723760	0	0	0
105376890	0	0	0
23038	2	0	6
84065	0	0	0
644961	7	5	6
84958	1	1	0
9064	1	1	0
8547	0	0	0
388611	0	0	0
2827	0	0	0
10163	20	8	14
105376892	0	0	0
27245	5	1	3
2268	0	0	0
111216282	0	0	0
2537	8	3	7
199870	2	3	0
23673	3	1	1
5511	1	0	5
677774	37	14	17
9473	0	0	0
6118	1	0	2
27293	1	0	1
55113	0	0	0
2140	5	1	1
5724	5	2	4
22826	2	3	1
93974	1	2	3
83667	1	0	2
54797	0	0	0
65979	4	4	3
1104	2	2	1
8420	1	1	3
6080	265	263	670
26768	168	264	318
54952	3	1	1
85028	128	119	176
692212	6629	29930	13121
677838	63	67	76
677825	65	51	98
692073	1669	1230	2578
115273	1	1	0
6883	566	335	1075
105378616	563	339	1076
26824	561	336	1076
10691	3	0	1
51441	6	4	8
4985	0	0	0
2035	10	4	5
399474	2	0	1
6429	3	2	3
51102	0	0	1
10076	2	0	1
101928460	0	0	0
107984933	0	0	0
107984934	0	0	0
101929406	0	0	0
105378617	0	0	0
105378618	0	0	0
4146	0	0	0
100129196	0	0	1
7805	6	3	13
100616164	0	0	0
105378620	1	0	0
105378621	0	0	0
105378622	0	0	0
400748	0	0	0
9672	2	1	2
9698	9	7	7
692234	956	406	748
692235	956	406	748
692200	1906	3437	1810
107984935	0	0	0
79570	0	0	1
9410	1	0	3
51538	0	4	1
2170	0	1	0
105378623	0	0	0
107985470	0	0	0
347735	5	0	2
105378625	0	0	0
105379772	0	0	0
149086	0	0	0
284551	0	0	0
105378626	0	0	0
64129	2	0	0
3061	0	0	0
553115	0	2	1
107985471	0	0	0
105378628	0	0	0
1307	1	6	0
101929444	0	0	0
576	0	1	1
100423028	0	0	0
90853	0	0	0
8073	18	8	24
10657	8	10	14
55116	0	1	1
100847018	0	0	0
23633	10	7	7
200081	5	4	3
79140	0	0	0
56063	0	0	0
55721	0	0	0
149069	1	1	0
8668	4	2	7
339483	0	0	0
84734	0	0	0
3932	0	0	3
3065	5	5	3
65108	2	3	8
105378629	0	0	0
81629	0	1	0
100128071	0	0	0
55108	1	2	3
728116	0	0	0
653121	1	1	2
102723870	0	0	0
339487	0	0	7
5928	10	7	6
81493	3	4	3
57648	10	1	5
8565	4	2	3
64766	1	0	3
252995	0	0	0
105378631	0	0	0
3208	0	0	0
113452	1	1	0
105378632	0	0	0
127544	4	1	2
204	5	8	5
105378635	0	1	0
113451	0	0	0
112268224	0	0	0
55223	1	1	1
149076	3	1	1
127550	0	0	0
1912	2	4	1
100500853	0	0	0
101929464	0	0	0
7579	0	0	3
114784	0	1	0
105378638	0	0	0
127540	0	0	0
402779	0	0	0
84970	0	0	0
105378639	0	0	0
105378640	0	0	0
105378641	0	0	0
693137	0	0	0
105378642	0	0	0
2709	0	0	0
127534	0	0	0
2707	0	0	0
2701	0	1	0
113444	0	0	1
58512	0	0	0
653160	0	0	0
100506144	1	1	1
9204	2	0	6
79830	4	0	6
105378644	0	0	0
6421	15	16	43
9202	3	7	12
100861513	0	0	1
79932	3	2	7
23154	2	1	2
339488	0	1	2
105378645	0	0	1
5690	2	5	5
105378646	0	0	0
127703	0	2	0
63967	1	0	3
192670	4	2	7
26523	5	5	6
192669	7	12	8
105378647	0	0	0
27285	0	0	0
54936	0	0	0
1296	2	0	0
27095	1	0	2
55700	5	1	0
9967	12	5	8
79729	1	0	0
55194	0	0	0
83931	1	0	6
84967	1	0	2
127700	2	0	0
109616970	20	10	16
107984940	0	0	0
64960	0	1	3
1441	0	1	0
107984941	1	0	0
105378648	0	0	0
2899	0	0	1
100422898	0	0	0
107984942	0	0	0
728431	0	0	0
80149	1	1	1
102465438	0	0	0
64769	4	4	4
100847010	0	0	0
105378649	0	0	0
79753	1	0	1
7802	0	0	1
29889	3	3	5
284654	0	0	0
54955	0	0	0
55143	1	0	0
284656	0	0	1
105378650	0	0	0
149175	0	0	1
79693	2	0	0
127687	0	0	0
4520	3	1	2
3633	1	1	3
105378651	0	0	0
10946	3	5	5
2275	1	1	0
51118	2	0	4
5453	0	0	1
107985103	0	0	0
105378653	0	0	0
100500801	0	0	0
105378655	0	0	0
105378654	0	0	0
339442	0	0	0
105378657	0	0	0
107984943	0	0	0
105378656	0	0	0
105378658	0	0	0
105378660	0	0	0
64121	7	3	3
100527950	1	1	2
26292	1	1	2
105378663	0	0	0
81025	0	0	0
54933	0	0	0
105378662	0	0	0
79647	3	4	8
4725	1	3	10
23499	44	33	80
643314	1	0	1
105378950	0	0	0
353500	1	2	3
192217	0	0	0
728448	0	1	2
8761	4	4	11
101929516	0	1	4
677834	32	14	20
26508	1	0	0
84618	0	0	0
51440	0	0	0
10450	2	1	1
656	0	0	1
64064	0	0	0
105378666	0	0	0
101929536	0	0	0
105378951	0	0	0
107985740	0	0	0
105378665	0	0	0
105378667	0	0	0
54802	1	0	2
4610	1	1	1
105378668	0	0	0
84879	0	0	0
105378669	0	0	0
10487	21	16	22
5538	14	10	11
105378671	0	0	0
6018	3	3	6
127391	0	0	0
10269	8	1	7
1298	0	0	0
107984945	0	0	0
64744	3	2	5
65243	1	0	0
339559	0	0	0
105378672	0	0	0
64789	0	0	0
127396	1	2	1
105378673	0	0	0
9783	0	0	0
105378675	0	0	1
105378674	0	0	0
100130557	0	0	0
4802	1	0	4
407034	0	0	0
407031	0	0	2
9132	0	0	0
105378676	0	0	0
163732	0	0	0
1503	1	0	1
100507178	0	0	0
200172	0	0	0
22955	2	2	5
100132074	1	0	1
101929901	0	0	0
105378678	0	0	0
1907	0	0	0
59269	3	1	3
2981	0	0	0
2980	0	0	0
22887	8	1	7
284716	0	0	0
84217	0	0	0
728621	1	0	1
79717	3	0	2
10465	4	1	1
4904	10	5	7
149461	0	0	0
64175	1	1	1
79078	0	0	0
105378683	0	0	0
100129924	0	0	0
107984946	0	0	0
374969	0	0	0
114625	1	1	2
51058	0	0	1
339539	0	0	0
6513	2	2	3
440584	0	0	0
440585	0	0	0
10969	3	1	2
102465439	0	0	0
149465	0	0	0
105378685	0	0	0
128218	0	0	1
149466	0	0	0
7075	1	2	0
4352	0	0	0
105378687	0	0	0
991	0	0	5
64834	2	1	6
102466723	0	0	1
112268225	0	0	0
112950	0	1	2
107984947	0	0	0
23334	3	2	8
100873952	0	1	1
102465440	0	0	0
81888	0	0	0
5792	11	8	40
9682	1	3	6
100132774	0	0	0
6487	0	0	0
101929592	0	0	0
102464830	0	0	0
9048	0	0	0
105378688	0	0	0
101929609	0	0	0
9670	2	1	1
1802	0	0	0
533	4	3	8
8704	2	0	1
149473	1	0	0
6536	2	0	3
107984948	0	0	0
128209	0	0	0
105378952	0	0	0
55929	0	0	1
79033	2	0	1
100874278	0	0	0
106635545	0	0	0
55182	3	1	1
107984951	0	0	0
100847089	0	0	0
107984950	2	1	1
79639	0	0	0
109623472	2	5	2
339541	1	0	0
105378690	0	0	0
26828	61	25	98
26830	42	50	16
11004	0	0	1
109623476	0	8	4
6202	11	7	12
26811	1159	8123	2344
94161	2424	2139	3101
94162	5351	12149	6989
94163	3362	2945	4663
266675	0	0	0
1263	0	3	2
343521	0	0	1
149478	0	0	0
107984952	11	6	8
8643	10	6	8
8891	1	2	0
79654	3	2	2
7389	0	1	4
57643	0	0	0
105378691	0	0	1
400752	0	0	1
84842	0	0	0
4595	0	0	1
114034	0	0	0
10420	0	0	2
126661	0	0	0
25974	4	4	5
5052	18	7	32
10327	3	0	3
4678	4	3	5
149483	0	1	0
60313	1	2	7
728963	0	0	0
51249	0	1	4
3652	2	2	2
105378693	0	0	0
23139	3	2	0
105378694	1	1	0
110117499	4	3	1
8503	5	3	3
101929626	0	0	0
10103	1	0	0
110117498	0	0	0
55624	3	1	2
541468	0	0	0
8438	1	1	2
10489	1	2	4
7388	3	3	3
387338	1	4	4
2166	1	0	0
729041	0	0	0
101929651	0	0	0
127343	0	0	0
105378696	0	0	0
100507423	0	1	0
148930	0	0	0
8569	3	1	1
148932	1	0	1
105378697	0	0	0
64756	0	0	3
374973	0	0	0
100130197	0	1	0
9813	9	6	14
105378698	0	0	0
105378699	0	0	0
1580	0	0	0
163720	3	0	8
1579	0	0	0
260293	0	0	0
199974	2	0	16
284541	0	0	0
105378701	0	0	0
100874253	0	0	0
10158	0	0	0
6886	0	0	0
6491	0	2	0
51727	12	16	14
102724077	0	0	0
2301	0	0	0
84793	0	0	0
2306	0	0	0
107984953	0	0	0
388630	0	0	0
105379778	0	0	0
391037	0	0	0
200010	0	0	1
54558	1	0	1
84871	0	0	1
79656	0	0	0
105378706	0	0	0
101929721	0	0	0
100874313	0	0	0
107984954	0	0	0
105378708	0	0	0
1996	0	0	0
105378709	0	0	0
107984955	0	0	0
105378711	0	0	0
105378710	0	0	0
105378712	0	0	0
63950	0	0	0
105378714	0	0	0
11124	2	5	5
105378715	1	0	0
112268262	0	1	0
1031	0	0	0
100616189	0	0	0
102466656	0	0	0
284546	0	0	0
105378716	0	0	0
26994	10	10	9
22996	1	1	6
105378717	0	0	0
102724097	0	1	0
2060	12	5	15
105378720	0	0	0
441884	0	0	0
105378719	0	0	0
114883	4	5	4
4898	5	4	16
105378721	0	1	0
100313892	0	0	0
5865	0	1	0
51060	0	4	3
112970	0	1	0
104355143	0	0	0
91408	2	1	3
107984956	0	0	0
9372	1	1	1
200014	1	0	2
4998	0	0	1
84950	2	3	8
23318	6	7	10
105378723	0	1	0
2882	0	0	0
348378	0	0	1
65260	0	1	2
79699	5	5	5
440590	0	0	0
55268	1	0	1
6342	6	1	8
127435	0	1	0
6512	0	0	0
105378724	0	0	0
1376	0	0	2
54987	1	0	0
4116	1	0	0
100507564	0	0	0
7804	0	1	2
105378728	0	0	0
105378726	0	0	0
105378732	0	0	0
105378731	0	0	0
105378730	0	0	0
107984957	0	0	0
163742	0	0	0
105378733	0	0	0
63948	0	0	0
148979	0	0	0
55706	7	0	9
54432	3	0	2
1733	0	0	1
51668	5	3	5
115353	1	0	1
388633	0	0	0
9528	23	8	16
127428	2	2	0
100616315	0	0	0
200008	0	0	0
606495	2	0	1
51253	0	0	2
23648	1	1	0
619518	0	0	0
105378735	0	0	0
105378734	0	0	0
26027	0	1	0
338094	0	0	0
100527960	0	1	1
374977	0	0	0
7268	0	1	1
25973	0	1	0
55001	0	0	1
163747	0	0	0
1718	15	5	31
107984958	0	0	0
107985760	1	0	0
105378736	0	0	0
199964	0	0	0
7809	0	0	0
255738	0	0	0
23358	13	6	21
100507634	0	0	0
109729135	0	0	0
100616272	0	0	0
105378740	0	0	0
105378739	0	0	0
105378738	0	0	0
105378737	0	0	0
105378741	0	0	0
105378744	0	0	0
8613	9	4	2
101929935	0	0	0
5563	2	1	0
199920	0	0	0
731	0	0	0
732	0	0	0
105378745	0	0	0
112267900	0	0	0
1600	0	0	1
105378748	0	0	0
105378747	0	0	0
101926890	0	0	0
105378746	0	0	0
107984960	0	0	3
115209	2	1	2
4070	1	5	3
114803	10	3	8
112268263	0	0	0
105378751	0	0	0
3725	7	7	12
100131060	0	0	0
101926907	0	0	0
107984961	0	0	0
105378753	0	0	0
101926925	0	0	0
729467	0	0	0
105378756	0	0	0
55277	0	0	1
100616409	0	0	0
101926944	0	0	0
105378758	0	0	0
51361	3	3	11
1573	0	0	0
127795	0	0	0
105378760	0	0	0
107984963	0	0	0
105378761	0	0	0
107984962	0	0	0
107985379	0	0	0
105378763	0	0	0
101926964	0	0	0
105378764	0	0	0
100996570	0	0	0
4774	22	2	20
645030	0	0	0
105378766	0	0	0
107984964	0	0	0
414927	0	0	0
83941	4	5	4
10207	8	5	14
113219465	0	0	0
107984965	0	0	2
100422902	0	0	0
100422946	0	0	0
54596	0	0	0
163782	0	0	0
105378768	0	0	0
7398	3	6	7
85440	5	4	6
27329	2	0	0
84938	0	0	2
105378769	0	0	0
199899	0	0	0
105378770	0	0	0
100996301	0	0	0
27022	0	0	0
102464823	0	0	0
29929	6	0	1
23421	0	0	0
102724319	0	0	0
84455	2	0	0
79469	0	0	1
5236	0	3	2
105378771	0	0	0
4919	0	1	1
105378772	0	0	0
101927034	0	0	0
105378773	0	0	0
148581	0	0	0
105378774	0	0	0
107984966	0	0	0
57685	2	1	0
100616338	0	0	0
55225	3	2	2
3716	21	15	20
101927084	0	0	0
100500854	0	0	0
406893	0	0	0
205	1	3	0
9829	0	0	0
102724416	0	0	0
112268227	0	0	0
3953	4	2	0
54741	10	5	7
5142	11	7	9
101927139	0	0	0
105378776	0	0	0
84251	0	0	0
100422871	1	0	0
200132	0	0	0
10022	0	0	0
79819	1	0	1
57708	7	7	11
23169	5	2	2
400757	0	0	0
149233	0	0	0
3595	0	1	0
105378779	0	0	0
26135	7	13	16
102724481	0	0	0
105378780	0	0	0
1647	2	1	0
55970	9	10	6
105378781	0	0	0
100289178	1	0	0
9077	0	0	0
79971	5	5	2
100302279	0	1	0
105378782	0	0	0
6121	0	0	0
55635	2	2	0
101927220	0	0	0
107984967	0	0	0
105378783	0	0	0
105378785	0	0	0
105378787	0	0	0
105378786	0	0	0
105378788	0	0	0
105378789	0	0	0
105378790	0	0	0
57554	0	0	0
5301	0	0	0
105378792	0	0	0
55631	3	2	7
9295	20	10	31
81573	1	3	7
11147	1	0	0
102724548	0	0	0
1491	0	0	0
105378793	0	0	0
105378794	0	0	0
101927244	0	0	0
102724572	0	0	0
5733	2	0	0
107985517	0	0	0
100132618	1	0	2
9406	9	3	13
406962	1	1	5
100852410	0	0	0
105378795	0	0	0
257194	2	0	0
100852409	0	0	0
105378797	0	0	0
105378796	0	0	1
105378798	0	0	0
339468	0	0	0
105378799	0	0	0
105378800	0	0	0
101927295	0	0	0
105378801	0	0	0
107985391	0	0	0
105378802	0	0	0
109729166	0	0	0
127255	0	0	0
100526835	1	0	1
8790	2	1	2
51086	1	0	0
105378805	0	0	0
105378803	0	0	0
127254	0	0	0
101927320	0	0	0
1429	11	3	6
127253	4	0	2
431707	0	0	0
204962	0	0	3
34	5	1	10
1744	1	1	0
5876	10	6	10
692085	2155	1444	3047
26805	8212	5247	9937
26804	808	13847	4995
4438	0	0	0
127247	0	0	0
105378806	0	0	0
101927342	0	0	0
256435	0	0	0
105378807	1	0	1
110806286	0	0	0
81849	0	0	3
102466995	0	0	0
10026	3	1	4
105378808	0	0	0
26289	1	0	0
26009	4	3	7
23032	6	6	11
374986	5	1	3
374987	0	0	0
91624	5	7	5
8880	13	6	14
11080	1	5	2
54810	0	0	1
107984997	0	0	0
149047	0	0	0
5737	0	2	0
10964	12	10	7
10561	7	5	8
64123	1	3	0
107984998	0	0	0
105378810	0	0	0
105378812	0	0	0
105378811	0	0	0
107983999	0	0	0
101927412	0	0	0
105378813	0	0	0
107985018	0	0	0
23266	2	8	1
101927434	0	0	0
105378814	0	0	0
107985396	0	0	0
103283057	0	0	0
101927498	0	0	0
107985037	0	0	0
105378816	0	0	0
101927542	0	0	0
107985043	0	0	0
101927587	0	0	0
101927560	0	0	0
107985041	0	0	0
79739	5	4	0
5567	7	7	7
107985046	0	0	0
112268230	0	0	0
148418	0	0	0
391051	0	0	0
58511	0	0	0
80135	1	2	3
2787	3	2	4
100505741	0	1	1
1486	3	4	8
105378819	0	0	0
103695366	0	0	0
439927	0	0	0
117178	3	2	5
102724892	0	0	0
23566	1	0	0
255231	5	0	4
55283	0	0	0
126820	0	0	0
100616481	0	0	0
84144	10	1	6
105378821	0	0	0
148423	4	3	7
8915	5	1	5
646626	0	0	0
23576	1	0	0
